epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.1272,2.06125,5.47747,1.58961,0.00032,0.20446,0.00464,0.00354,1.46909,5.26004,1.32596,7.272e-05,7.272e-05,7.272e-05
2,99.7361,1.69399,4.63534,1.4155,0.00058,0.22047,0.018,0.01276,1.23194,4.91269,1.04959,0.000153,0.000153,0.000153
3,144.553,1.43008,4.26735,1.16901,0.00187,0.29244,0.06051,0.03556,1.26955,4.68868,1.00369,0.00023166,0.00023166,0.00023166
4,204.433,1.406,4.03585,1.16334,0.00143,0.30262,0.06203,0.04015,1.40819,4.65557,1.03472,0.000308701,0.000308701,0.000308701
5,251.472,1.50547,3.59956,1.19758,0.00211,0.34756,0.14587,0.06677,1.68317,4.58849,1.19284,0.000384122,0.000384122,0.000384122
6,295.833,1.40319,3.25005,1.15672,0.00422,0.5072,0.18264,0.11083,1.50571,4.24904,1.11265,0.000457922,0.000457922,0.000457922
7,340.262,1.47657,3.16299,1.247,0.74804,0.10363,0.24286,0.12463,1.73348,4.10244,1.18652,0.000530103,0.000530103,0.000530103
8,383.503,1.40029,3.17065,1.16023,0.92662,0.08119,0.39174,0.21501,1.51367,3.8637,1.11656,0.000600664,0.000600664,0.000600664
9,427.362,1.37061,2.91922,1.20622,0.8575,0.10201,0.44732,0.19652,1.77724,3.90157,1.22633,0.000669606,0.000669606,0.000669606
10,469.991,1.3032,6.14205,1.03132,0.81188,0.14857,0.50106,0.29694,1.2279,3.66726,1.04666,0.000736927,0.000736927,0.000736927
11,517.693,1.4279,2.59808,1.1526,0.79837,0.12,0.45646,0.27429,1.28818,3.5909,1.06703,0.000802629,0.000802629,0.000802629
12,568.796,1.42348,2.59008,1.19864,0.49583,0.41551,0.52293,0.27797,1.49351,2.95969,1.1174,0.00081001,0.00081001,0.00081001
13,614.804,1.36266,2.45042,1.16756,0.48356,0.55318,0.55045,0.33818,1.26308,2.80786,1.03659,0.000801011,0.000801011,0.000801011
14,659.38,1.34596,2.29001,1.14013,0.51052,0.60211,0.61074,0.3416,1.46875,2.81064,1.13249,0.000792012,0.000792012,0.000792012
15,706.64,1.26339,2.24488,1.10954,0.5873,0.64111,0.64703,0.36367,1.34289,2.65692,1.07475,0.000783013,0.000783013,0.000783013
16,762.377,1.34509,2.09079,1.19683,0.60296,0.62511,0.68465,0.3723,1.49764,2.59664,1.09429,0.000774013,0.000774013,0.000774013
17,807.305,1.23035,1.98743,1.10577,0.62788,0.53221,0.69106,0.40853,1.35511,2.66154,1.06844,0.000765014,0.000765014,0.000765014
18,851.779,1.26102,2.49091,1.14284,0.68802,0.27647,0.58422,0.35287,1.2232,3.09783,1.04337,0.000756015,0.000756015,0.000756015
19,894.519,1.20387,2.36108,1.07716,0.6717,0.41274,0.65649,0.37951,1.31053,2.96201,1.06982,0.000747016,0.000747016,0.000747016
20,938.787,1.21316,2.16133,1.07051,0.53165,0.80538,0.67045,0.40493,1.19707,2.0774,1.02436,0.000738017,0.000738017,0.000738017
21,985.384,1.31121,2.16683,1.07722,0.49069,0.84038,0.66124,0.40466,1.19782,2.1837,1.01669,0.000729018,0.000729018,0.000729018
22,1030.36,1.26622,2.09815,1.06749,0.57021,0.82669,0.72199,0.39974,1.43796,2.07796,1.09677,0.000720019,0.000720019,0.000720019
23,1074.09,1.41197,3.76307,1.11044,0.59164,0.80219,0.72528,0.44327,1.27848,1.9294,1.05157,0.00071102,0.00071102,0.00071102
24,1119.26,1.27046,1.9526,1.17895,0.62479,0.64044,0.67364,0.41686,1.16898,1.85847,1.04213,0.000702021,0.000702021,0.000702021
25,1163.23,1.24288,1.9273,1.12358,0.56996,0.76763,0.70991,0.40903,1.3378,1.86355,1.09572,0.000693022,0.000693022,0.000693022
26,1208.45,1.19036,1.65819,1.1243,0.7074,0.75657,0.76402,0.50704,1.12221,1.71996,0.99462,0.000684022,0.000684022,0.000684022
27,1252.27,1.20879,1.86743,1.11389,0.73398,0.74605,0.78439,0.48666,1.25806,1.73562,1.0332,0.000675023,0.000675023,0.000675023
28,1296.05,1.09309,5.16795,0.97358,0.6447,0.7849,0.78405,0.48674,1.25999,1.97645,1.03931,0.000666024,0.000666024,0.000666024
29,1340.69,1.14038,1.96997,1.07211,0.65997,0.76589,0.80167,0.48596,1.29631,1.84566,1.05715,0.000657025,0.000657025,0.000657025
30,1382.68,1.16745,1.73574,1.04062,0.74175,0.79743,0.84389,0.54948,1.17074,1.65812,1.01494,0.000648026,0.000648026,0.000648026
31,1425.58,1.23485,1.8493,1.11193,0.61481,0.8773,0.82265,0.56047,1.05921,1.75596,0.98102,0.000639027,0.000639027,0.000639027
32,1470.77,1.22581,1.77731,1.11731,0.74969,0.77897,0.81831,0.47647,1.4887,1.65169,1.11654,0.000630028,0.000630028,0.000630028
33,1514.16,1.13142,1.71218,1.08084,0.71113,0.80031,0.84073,0.53762,1.26703,1.60826,1.03851,0.000621029,0.000621029,0.000621029
34,1558.55,1.11508,1.7199,1.00564,0.69515,0.78214,0.84817,0.57682,1.14265,1.68558,0.99745,0.00061203,0.00061203,0.00061203
35,1600.55,1.0072,4.2252,0.96181,0.74887,0.84447,0.87012,0.57704,1.232,1.56777,1.00949,0.000603031,0.000603031,0.000603031
36,1642.61,1.20583,1.78816,1.09154,0.78561,0.77965,0.87,0.54058,1.3458,1.53738,1.0352,0.000594031,0.000594031,0.000594031
37,1686.19,1.14379,1.59452,1.03682,0.6806,0.85198,0.82567,0.54559,1.15854,1.49927,0.99037,0.000585032,0.000585032,0.000585032
38,1731.32,1.0969,1.51508,1.03164,0.74759,0.79688,0.8238,0.51268,1.26061,1.55805,1.03059,0.000576033,0.000576033,0.000576033
39,1775.01,1.10325,1.54888,1.04776,0.68789,0.82365,0.82674,0.53303,1.24063,1.50142,1.02548,0.000567034,0.000567034,0.000567034
40,1818.73,1.13659,1.71995,1.08301,0.70295,0.84798,0.87496,0.57321,1.1967,1.48528,0.99811,0.000558035,0.000558035,0.000558035
41,1860.86,1.15788,1.70174,1.0957,0.73846,0.83623,0.87329,0.58038,1.1648,1.62688,0.9869,0.000549036,0.000549036,0.000549036
42,1905.1,1.04856,1.56833,1.01117,0.7752,0.78439,0.86626,0.60627,1.04228,1.78786,0.95377,0.000540037,0.000540037,0.000540037
